_id,Source,Source_ID,Location,Artist,Title,Medium,ArtForm,Status,ImageName,ImageURL,ThumbURL,ImageAltText,WARD,WARD_FULLNAME,YEAR_INSTALLED,Description,OwnedBy,CommissionedBy,PublicArtConsultant,ImageOrientation,ExternalLink,ExternalLinkText,geometry
363,Percent for Public Art - Private Developer Program,6066,"80 John Street, Festival Tower","Carl, James",Thing's End,None,None,Existing,Carl_Things_End.jpg,https://www.toronto.ca/ext/pln/publicart/Carl_Things_End.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Carl_Things_End.jpg,Image of artwork: Thing's End,10,Spadina-Fort York,2012,None,None,The Daniels Corporation,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.389924, 43.64692]]}"
364,Percent for Public Art - Private Developer Program,96100,25 Sheppard Avenue West,"Golden, Brad / Eichenberg, Lynne",Time Cones,Stainless Steel and Plants,None,Existing,TimeCones.jpg,https://www.toronto.ca/ext/pln/publicart/TimeCones.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TimeCones.jpg,Image of artwork: Time Cones,18,Willowdale,1996,"Through its distinctive forms and combination of stainless steel and plant materials, Time Cones mark the entrance plaza of this office tower. Incised into the spiral ribbon of the large cone and the top ring of the planter cones, a text by renowned poet Christopher Dewdney describes the geological strata of the site and lists the glacial lakes which once covered the local landscape.  Time Cones act as both urban landmark and garden element, participating in the relationship between landscape, art, and architecture in the City of North York.",None,H&R Developments,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41216726, 43.76082495]]}"
365,Percent for Public Art - Private Developer Program,97079,10 Scrivener Square,"Fones, Robert /  Teeple, Stephen",Tipping Fountain,"Bronze, Concrete, Granite",None,Existing,WaterTables1.jpg,https://www.toronto.ca/ext/pln/publicart/WaterTables1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/WaterTables1.jpg,Image of artwork: Tipping Fountain,11,University-Rosedale,2004,None,None,Woodcliffe Corporation,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.390545, 43.6808]]}"
366,Percent for Public Art Commissions Donated to the City,98069,Canoe Landing Park,"Coupland, Douglas",Tom Thomson's Canoe,None,None,Existing,Coupland_ThomThomsonsCanoe2.jpg,https://www.toronto.ca/ext/pln/publicart/Coupland_ThomThomsonsCanoe2.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Coupland_ThomThomsonsCanoe2.jpg,Image of artwork: Tom Thomson's Canoe,10,Spadina-Fort York,2009,"Viewed by millions of motorists travelling the Gardiner Expressway and walking in and around Canoe Landing Park, Douglas Coupland's startling red canoe serves as a symbolic entrance marker to the heart of downtown Toronto. Constructed as part of a comprehensive program of artwork for the park, this canoe is perched over the edge of a landscaped berm that was built using excavated materials from the construction of Concord CityPlace.",None,Concord Adex Development Corporation ,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.396712, 43.638514]]}"
367,Percent for Public Art - Private Developer Program,9101,6023 Steeles Avenue East,"Martin, Dean",Toronto 360,Steel,None,Existing,TO360.jpg,https://www.toronto.ca/ext/pln/publicart/TO360.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TO360.jpg,Image of artwork: Toronto 360,23,Scarborough North,2013,None,None,M&R Holdings and Baif Developments Limited,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.252428, 43.835899]]}"
368,Percent for Public Art - Private Developer Program,12059,120 Bremner Boulevard,"Marman, Jennifer / Borins, Daniel  / Khamsi, James  (FIRM a.d.) ",Torque,None,None,Existing,Torque.jpg,https://www.toronto.ca/ext/pln/publicart/Torque.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Torque.jpg,Image of artwork: Torque,10,Spadina-Fort York,TBD,None,None,GWL Realty Advisors,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.384312, 43.643155]]}"
369,Percent for Public Art - Private Developer Program,7102,5791 Yonge Street,"Covit, Linda",Tracings,None,None,Existing,tracings.jpg,https://www.toronto.ca/ext/pln/publicart/tracings.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/tracings.jpg,Image of artwork: Tracings,18,Willowdale,2010,This multi-?component artwork is integrated into the landscape design and faÃ§ade of the building. The artwork components situated within the planter elements frame the main entrance and provide an elegant and sophisticated address. The rhythmic lighting components of the artwork complement the building faÃ§ade and extend the artwork across the project site as a means of engaging building residents and pedestrians.,None,Menkes Developments Limited,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41604, 43.783997]]}"
370,Percent for Public Art - Private Developer Program,92128,"200 Front Street West, Simcoe Place","Astman, Barbara",Tribute,Etched Glass,None,Existing,Tribute.jpg,https://www.toronto.ca/ext/pln/publicart/Tribute.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Tribute.jpg,Image of artwork: Tribute,10,Spadina-Fort York,1995,None,None,Cadillac Faiview,None,portrait,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38614, 43.644737]]}"
371,Percent for Public Art - Private Developer Program,98005,"1 Blue Jays Way, Rogers Centre","Haufschild, Lutz",Tribute to Baseball,Tempered Glass,None,Existing,TributeToBaseball3.jpg,https://www.toronto.ca/ext/pln/publicart/TributeToBaseball3.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TributeToBaseball3.jpg,Image of artwork: Tribute to Baseball,10,Spadina-Fort York,1990,None,None,None,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.388033, 43.641168]]}"
372,Percent for Public Art - Private Developer Program,97100,"222 Bremner Boulevard, Metropolitan Toronto Convention Centre",FastwÃ¼rms,Turtle Pond,Terazzo Floor,None,Existing,TurtlePond3.jpg,https://www.toronto.ca/ext/pln/publicart/TurtlePond3.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TurtlePond3.jpg,Image of artwork: Turtle Pond,10,Spadina-Fort York,1997,None,None,Metropolitan Toronto Convention Centre,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38527, 43.643041]]}"
373,Percent for Public Art - Private Developer Program,13010,"333 Bay Street, Bay Adelaide Centre","Lexier, Micah",Two Circles,None,None,Existing,TwoCircles1.jpg,https://www.toronto.ca/ext/pln/publicart/TwoCircles1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/TwoCircles1.jpg,Photo of mosaic wall mural of a black circle on a white background. Located in the lobby of the office tower. ,13,Toronto Centre,2016,"Two Circles at 22 Adelaide Street West, won an Award of Excellence at the 2017 Urban Design Awards.",None,Brookfield Realty,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38035554, 43.65037603]]}"
374,Percent for Public Art - Private Developer Program,951116,"100 Princes' Boulevard, Enercare Centre, Exhibition Place","Mann Inc., Kurtz",Universal Link,None,None,Existing,UniversalLink.jpg,https://www.toronto.ca/ext/pln/publicart/UniversalLink.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/UniversalLink.jpg,Image of artwork: Universal Link,10,Spadina-Fort York,1997,None,None,Metro Toronto and Exhibition Place,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.41255158, 43.63453029]]}"
375,Percent for Public Art - Private Developer Program,1100,"118 Yorkville Avenue, The Hazelton Hotel Porte-Cochere","Goodman, Jeff",Untitled,None,None,Existing,Goodman_Untitled_Hazelton_Hotel_and_Residences_1.jpg,https://www.toronto.ca/ext/pln/publicart/Goodman_Untitled_Hazelton_Hotel_and_Residences_1.jpg,https://www.toronto.ca/ext/pln/publicart/thumbs/Goodman_Untitled_Hazelton_Hotel_and_Residences_1.jpg,Image of artwork: Untitled,11,University-Rosedale,2002,None,None,The Starwood Group,None,landscape,None,None,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.393997, 43.670665]]}"
